8882;GTR;1.014349;8.265914;1.616536;0.903291;8.79967;1.0;0.254516;0.27093;0.252909;0.221645
36248;GTR;0.788455;2.129448;1.721693;0.369483;4.499593;1.0;0.278493;0.212868;0.206066;0.302574
14066;GTR;2.339766;3.308543;1.267375;1.954177;9.132877;1.0;0.228214;0.250255;0.282414;0.239117
39426;GTR;0.440867;2.526704;0.770726;0.668622;3.233893;1.0;0.305998;0.217585;0.283189;0.193228
21439;GTR;1.525602;3.139056;2.676927;1.129752;3.908018;1.0;0.206579;0.291005;0.277663;0.224753
7801;GTR;0.901737;2.346652;2.148666;0.631162;2.460509;1.0;0.26443;0.204314;0.221889;0.309367
41671;GTR;0.617159;1.74177;1.238725;0.322354;4.607544;1.0;0.236998;0.237492;0.298232;0.227278
53364;GTR;0.0001;3.898382;1.120732;0.0001;17.956671;1.0;0.251053;0.217208;0.312356;0.219383
17239;GTR;30.313105;31.333763;37.207712;18.525025;195.576365;1.0;0.205095;0.291451;0.265976;0.237478
17924;GTR;1.086904;1.899742;1.417946;0.923474;2.253343;1.0;0.292702;0.260222;0.204815;0.242262
